iter	RMSE
0	3682.079324
1	3052.715495
2	2628.235645
3	2377.000993
4	2201.745038
5	2106.468354
6	2028.356193
7	1982.987837
8	1950.982055
9	1930.3332
10	1908.685199
11	1893.324751
12	1880.166446
13	1873.100487
14	1863.771963
15	1856.623457
16	1848.454859
17	1840.706007
18	1832.102124
19	1826.161187
20	1821.414141
21	1816.151319
22	1811.355057
23	1808.015277
24	1803.558663
25	1799.065602
26	1792.866372
27	1789.677793
28	1786.573979
29	1783.267344
30	1779.647823
31	1776.187499
32	1774.508834
33	1771.679343
34	1769.232437
35	1765.368287
36	1763.015193
37	1760.118718
38	1757.834415
39	1755.025719
40	1751.539231
41	1749.769772
42	1747.952919
43	1745.023739
44	1743.769327
45	1742.002184
46	1740.316826
47	1739.184678
48	1736.893811
49	1736.036767
50	1733.040703
51	1729.467962
52	1727.412382
53	1725.819531
54	1722.973922
55	1721.549778
56	1720.218039
57	1717.784463
58	1716.230797
59	1714.721426
60	1713.694557
61	1712.398424
62	1711.061865
63	1710.135574
64	1708.695769
65	1707.912703
66	1706.58756
67	1706.279265
68	1705.385736
69	1704.277068
70	1703.820482
71	1703.006239
72	1701.809439
73	1699.922887
74	1699.290466
75	1698.274011
76	1696.939609
77	1696.180018
78	1694.815256
79	1693.528745
80	1692.804553
81	1692.201296
82	1692.068425
83	1691.590864
84	1691.030605
85	1690.001193
86	1689.765574
87	1688.515837
88	1686.59292
89	1685.964893
90	1685.396577
91	1684.961973
92	1684.323076
93	1683.044912
94	1681.068701
95	1680.417332
96	1679.646624
97	1679.244009
98	1677.520426
99	1677.420706
100	1676.653422
101	1676.13063
102	1675.343763
103	1674.736096
104	1673.432031
105	1672.651545
106	1671.366351
107	1670.711447
108	1670.184113
109	1669.191067
110	1669.143225
111	1669.028625
112	1668.725269
113	1667.80288
114	1667.599267
115	1667.517576
116	1667.327483
117	1666.916541
118	1666.389056
119	1665.971104
120	1665.512855
121	1664.76997
122	1663.890142
123	1662.754152
124	1661.998498
125	1661.973572
126	1660.903245
127	1660.302724
128	1659.769822
129	1658.937257
130	1658.366145
131	1657.387264
132	1656.814137
133	1656.375645
134	1656.259363
135	1654.980073
136	1653.980486
137	1653.614829
138	1652.876306
139	1652.17588
140	1651.305941
141	1650.649814
142	1649.800631
143	1649.314859
144	1648.466022
145	1647.864316
146	1647.589687
147	1646.913836
148	1646.211862
149	1645.409296
150	1644.922119
151	1644.186653
152	1643.630881
153	1643.533121
154	1643.207914
155	1642.843691
156	1642.420669
157	1641.955999
158	1641.587752
159	1640.761738
160	1640.502115
161	1639.301986
162	1638.782616
163	1638.296802
164	1637.928327
165	1637.587891
166	1637.527962
167	1637.370281
168	1637.069626
169	1636.51634
170	1636.211681
171	1635.424443
172	1635.280544
173	1634.417694
174	1633.526802
175	1632.932329
176	1632.678966
177	1632.377268
178	1632.094348
179	1631.010485
180	1630.335049
181	1630.115598
182	1630.010166
183	1629.905143
184	1629.628317
185	1629.233013
186	1629.193746
187	1628.506572
188	1627.962753
189	1627.621456
190	1626.925633
191	1626.391941
192	1626.335025
193	1626.300157
194	1626.096271
195	1625.737656
196	1625.125223
197	1624.810974
198	1624.601381
199	1624.408043
