iter	Passed	Remaining
0	73	14671
1	148	14672
2	224	14748
3	293	14369
4	362	14136
5	456	14747
6	514	14195
7	588	14129
8	651	13824
9	722	13732
10	784	13484
11	830	13008
12	894	12863
13	965	12830
14	1033	12741
15	1106	12727
16	1155	12437
17	1227	12412
18	1282	12219
19	1365	12285
20	1453	12392
21	1515	12264
22	1590	12241
23	1646	12072
24	1705	11935
25	1771	11857
26	1846	11830
27	1931	11861
28	2013	11872
29	2070	11730
30	2149	11718
31	2240	11765
32	2309	11687
33	2358	11512
34	2423	11425
35	2493	11361
36	2573	11339
37	2657	11330
38	2721	11233
39	2800	11203
40	2876	11154
41	2968	11166
42	3051	11142
43	3125	11079
44	3196	11011
45	3256	10901
46	3326	10828
47	3401	10770
48	3491	10759
49	3563	10690
50	3632	10611
51	3704	10544
52	3776	10473
53	3862	10442
54	3938	10383
55	4010	10311
56	4096	10277
57	4200	10284
58	4270	10206
59	4337	10121
60	4428	10092
61	4529	10082
62	4617	10040
63	4694	9976
64	4767	9901
65	4826	9798
66	4905	9737
67	4968	9644
68	5029	9549
69	5102	9476
70	5176	9404
71	5258	9348
72	5344	9297
73	5416	9222
74	5520	9200
75	5601	9139
76	5671	9060
77	5735	8970
78	5809	8897
79	5896	8844
80	5968	8768
81	6046	8700
82	6110	8614
83	6195	8555
84	6286	8505
85	6347	8414
86	6467	8400
87	6554	8341
88	6628	8266
89	6709	8200
90	6783	8125
91	6863	8057
92	6940	7984
93	7022	7918
94	7099	7846
95	7175	7773
96	7263	7712
97	7315	7613
98	7393	7542
99	7447	7447
100	7511	7362
101	7559	7262
102	7621	7177
103	7670	7080
104	7737	7000
105	7817	6932
106	7894	6861
107	7973	6792
108	8052	6722
109	8125	6647
110	8180	6558
111	8237	6472
112	8342	6423
113	8393	6331
114	8456	6250
115	8512	6164
116	8573	6082
117	8636	6001
118	8725	5939
119	8811	5874
120	8903	5812
121	8981	5742
122	9056	5669
123	9150	5608
124	9211	5526
125	9307	5466
126	9359	5379
127	9444	5312
128	9531	5246
129	9600	5169
130	9703	5111
131	9785	5040
132	9853	4963
133	9940	4896
134	10013	4821
135	10088	4747
136	10196	4688
137	10286	4621
138	10348	4541
139	10413	4462
140	10484	4387
141	10554	4310
142	10633	4238
143	10725	4170
144	10803	4097
145	10879	4023
146	10934	3942
147	10995	3863
148	11077	3791
149	11147	3715
150	11208	3637
151	11278	3561
152	11342	3484
153	11435	3415
154	11517	3343
155	11588	3268
156	11658	3193
157	11745	3122
158	11819	3047
159	11896	2974
160	11965	2898
161	12051	2826
162	12127	2752
163	12214	2681
164	12313	2611
165	12372	2534
166	12433	2456
167	12484	2378
168	12552	2302
169	12615	2226
170	12681	2150
171	12750	2075
172	12822	2001
173	12879	1924
174	12952	1850
175	13024	1776
176	13092	1701
177	13151	1625
178	13233	1552
179	13310	1478
180	13383	1404
181	13469	1332
182	13565	1260
183	13619	1184
184	13677	1109
185	13748	1034
186	13838	962
187	13920	888
188	13979	813
189	14044	739
190	14095	664
191	14153	589
192	14204	515
193	14258	440
194	14333	367
195	14383	293
196	14449	220
197	14505	146
198	14573	73
199	14640	0
